adjusted threshold, kind of misaligned
B 10127 8113   10  -13
SSS vs= 0.99  t=  226
%P VOLT1   = 8037
%P VOLT2   = 8230
%P S2_SC   =  0.99
%P L_ANG_MAX = 226
B 10137 8114   69   -7
B 10147 8114   69   -4
B 10157 8093   69    0
B 10167 8054   69    5
B 10177 8044   69   11
B 10187 8031   69   14
B 10197 7779   69   18
B 10207 7755   69   23
B 10217 7709   69   28
B 10227 7804   69   35
B 10237 7807   69   41
B 10247 7823   69   49
B 10257 7742   69   58
B 10267 7759   61   67
B 10277 7768   48   77
B 10287 7678   36   88
B 10297 7618   23   99
B 10307 7659   19  109
B 10317 7722   19  119
B 10327 7788   19  129
B 10337 7802   19  140
B 10347 7990   19  148
B 10357 8063   19  156
B 10367 8067   19  165
B 10377 8069   19  174
pull out 175
B 10387 8103 -118  181
B 10397 8104 -118  189
B 10407 8077 -118  195
B 10417 7887 -118  200
B 10427 7855 -118  205
B 10437 7891 -118  210
B 10447 7335 -118  212
B 10458 7361 -118  214
B 10468 7521 -118  214
B 10478 7555 -118  214
B 10488 7501 -118  210
B 10498 7517 -118  197
B 10508 7404 -118  182
B 10518 7460 -118  166
B 10528 7236 -118  148
B 10538 7287 -118  129
B 10548 7315 -118  111
B 10558 7535 -118   90
B 10568 7601 -118   67
B 10578 7600 -118   45
B 10588 7672 -118   21
B 10598 7689 -118   -4
push -10 -10
push out at target
B 10608 7697   78  -16
B 10618 7706   78  -27
B 10628 7662   78  -41
B 10638 7667   78  -55
B 10648 7710   78  -69
B 10658 7647   78  -83
B 10668 7673   78  -97
B 10678 7555   78 -110
B 10688 7600   78 -117
B 10698 7547   47 -119
B 10708 7630    6 -119
B 10718 7654    9 -117
B 10728 7761    9 -106
B 10738 7458    9  -95
B 10748 7482    9  -84
B 10758 7493    9  -72
B 10768 8103    9  -60
B 10778 8072    9  -47
B 10788 8072    9  -37
B 10798 8110    9  -25
B 10808 8108    9  -14
pb end 
B 10818 8110   10   -5
B 10828 8111   10    3
B 10838 8113   10    9
B 10848 8113   10   14
SSS vs= 0.99  t=  226
%P VOLT1   = 8037
%P VOLT2   = 8223
%P S2_SC   =  0.99
%P L_ANG_MAX = 226
B 10858 8113   69   18
B 10868 8113   69   21
B 10879 8077   69   23
B 10889 8049   69   25
B 10899 8045   69   29
B 10909 8029   69   29
B 10919 7741   69   30
B 10929 7773   69   32
B 10939 7726   69   36
B 10949 7773   69   42
B 10959 7768   69   49
B 10969 7774   69   57
B 10979 7686   64   65
B 10989 7641   52   75
B 10999 7660   41   84
B 11009 7593   28   94
B 11019 7612   19  104
B 11029 7645   19  114
B 11039 7740   19  124
B 11049 7905   19  133
B 11059 7913   19  142
B 11069 8026   19  149
B 11079 8064   19  158
B 11089 8066   19  166
pull out 171
B 11099 8066 -118  173
B 11109 8103 -118  180
B 11119 8101 -118  186
B 11129 8034 -118  191
B 11139 7875 -118  196
B 11149 7866 -118  200
B 11159 7905 -118  203
B 11169 7382 -118  206
B 11179 7408 -118  207
B 11189 7543 -118  207
B 11199 7542 -118  207
B 11209 7478 -118  203
B 11219 7565 -118  190
B 11229 7483 -118  175
B 11239 7540 -118  158
B 11249 7282 -118  141
B 11259 7295 -118  123
B 11269 7320 -118  103
B 11279 7505 -118   83
B 11289 7610 -118   61
B 11299 7603 -118   38
B 11309 7676 -118   15
B 11319 7685 -118   -9
push -10 -10
push out at target
B 11329 7688   78  -19
B 11339 7692   78  -31
B 11349 7657   78  -46
B 11359 7667   78  -60
B 11369 7674   78  -73
B 11379 7607   78  -89
B 11389 7632   78 -104
B 11399 7545   78 -117
B 11409 7598   78 -123
B 11419 7555   38 -125
B 11429 7642    6 -125
B 11439 7634    9 -125
B 11449 7735    9 -113
B 11459 7460    9 -103
B 11469 7446    9  -93
B 11479 7455    9  -81
B 11489 8067    9  -70
B 11499 8069    9  -59
B 11509 8072    9  -48
B 11519 8072    9  -38
pb end 
B 11529 8108   10  -27
B 11539 8111   10  -19
B 11549 8110   10  -11
B 11559 8111   10   -5
SSS vs= 0.99  t=  226
%P VOLT1   = 8037
%P VOLT2   = 8223
%P S2_SC   =  0.99
%P L_ANG_MAX = 226
B 11569 8111   69    1
B 11579 8110   69    5
B 11589 8111   69    8
B 11599 8080   69   11
B 11609 8051   69   14
B 11619 8047   69   17
B 11629 8048   69   21
B 11639 7784   69   22
B 11649 7798   69   24
B 11659 7740   69   28
B 11669 7784   69   34
B 11679 7804   69   41
B 11689 7807   69   49
B 11699 7755   69   58
B 11709 7713   61   67
B 11719 7737   48   77
B 11729 7612   36   87
B 11739 7550   23   97
B 11749 7588   19  107
B 11759 7684   19  117
B 11769 7822   19  127
B 11779 7837   19  137
B 11789 7951   19  145
B 11799 8025   19  154
B 11809 8028   19  163
B 11819 8063   19  171
pull out 174
B 11829 8064 -118  178
B 11839 8066 -118  185
B 11849 8020 -118  191
B 11859 7879 -118  197
B 11869 7875 -118  202
B 11879 7911 -118  206
B 11889 7633 -118  209
B 11899 7638 -118  210
B 11909 7492 -118  210
B 11919 7511 -118  210
B 11929 7474 -118  203
B 11939 7538 -118  190
B 11949 7434 -118  175
B 11959 7489 -118  158
B 11969 7225 -118  141
B 11979 7268 -118  123
B 11989 7295 -118  104
B 11999 7512 -118   83
B 12009 7611 -118   61
B 12019 7607 -118   39
B 12029 7680 -118   15
B 12039 7692 -118   -8
push -10 -10
push out at target
B 12049 7694   78  -18
B 12059 7701   78  -31
B 12069 7635   78  -45
B 12079 7639   78  -60
B 12089 7713   78  -73
B 12099 7645   78  -89
B 12109 7667   78 -104
B 12119 7551   78 -117
B 12129 7609   78 -125
B 12139 7568   55 -125
B 12149 7628    9 -126
B 12159 7644    9 -125
B 12170 7745    9 -114
B 12180 7463    9 -102
B 12190 7447    9  -93
B 12200 7456    9  -82
B 12210 8031    9  -71
B 12220 8067    9  -60
B 12230 8070    9  -49
pb end 
B 12240 8072   10  -39
B 12250 8108   10  -29
B 12260 8108   10  -19
B 12270 8110   10  -11
SSS vs= 0.99  t=  226
%P VOLT1   = 8037
%P VOLT2   = 8220
%P S2_SC   =  0.99
%P L_ANG_MAX = 226
B 12280 8110   69   -4
B 12290 8111   69    2
B 12300 8111   69    7
B 12310 8107   69   11
B 12320 8072   69   14
B 12330 8048   69   17
B 12341 8048   69   21
B 12352 7800   69   24
B 12362 7777   69   26
B 12372 7774   69   28
B 12382 7832   69   31
B 12392 7796   69   37
B 12402 7787   69   43
B 12412 7754   69   51
B 12423 7768   69   60
B 12433 7758   58   70
B 12443 7606   46   79
B 12454 7622   34   89
B 12465 7616   21   99
B 12475 7671   19  109
B 12485 7706   19  119
B 12495 7798   19  128
B 12505 7949   19  137
B 12515 7951   19  144
B 12525 8060   19  152
B 12535 8062   19  160
B 12545 8064   19  167
pull out 173
B 12555 8064 -118  174
B 12565 8066 -118  180
B 12575 8067 -118  186
B 12585 8077 -118  191
B 12595 7897 -118  195
B 12605 7879 -118  198
B 12615 7905 -118  201
B 12625 7380 -118  203
B 12635 7413 -118  203
B 12645 7574 -118  203
B 12655 7590 -118  203
B 12665 7521 -118  199
B 12675 7610 -118  187
B 12685 7525 -118  172
B 12695 7568 -118  156
B 12705 7336 -118  139
B 12715 7308 -118  121
B 12725 7337 -118  103
B 12735 7496 -118   83
B 12745 7601 -118   62
B 12755 7593 -118   40
B 12765 7694 -118   17
B 12775 7697 -118   -6
push -10 -10
push out at target
B 12785 7699   78  -17
B 12795 7679   78  -29
B 12805 7656   78  -43
B 12815 7649   78  -57
B 12825 7684   78  -70
B 12835 7610   78  -86
B 12845 7635   78 -100
B 12855 7544   78 -114
B 12865 7624   78 -123
B 12875 7595   63 -125
B 12885 7714    6 -125
B 12895 7684    9 -125
B 12905 7726    9 -117
B 12915 7396    9 -105
B 12925 7470    9  -93
B 12935 7487    9  -83
B 12945 7710    9  -73
B 12955 8033    9  -61
B 12965 8035    9  -50
B 12975 8073    9  -41
B 12985 8072    9  -31
pb end 
B 12995 8073   10  -22
B 13005 8111   10  -13
B 13015 8110   10   -5
B 13025 8110   10    3
SSS vs= 0.99  t=  231
%P VOLT1   = 8037
%P VOLT2   = 8227
%P S2_SC   =  0.99
%P L_ANG_MAX = 231
B 13035 8111   69   10
B 13045 8111   69   15
B 13055 8086   69   20
B 13066 8059   69   27
B 13076 8040   69   30
B 13088 7771   69   33
B 13098 7763   69   35
B 13108 7804   69   38
B 13118 7914   69   39
B 13128 7894   69   43
B 13138 7874   69   47
B 13148 7907   69   54
B 13158 7912   69   61
B 13168 7848   59   69
B 13178 7646   51   77
B 13188 7663   42   85
B 13198 7607   33   93
B 13208 7597   25  101
B 13218 7613   19  108
B 13228 7765   19  115
B 13238 7985   19  123
B 13248 7991   19  129
B 13258 7992   19  135
B 13268 8064   19  140
B 13278 8066   19  144
B 13288 8064   19  150
B 13298 8067   19  154
B 13308 8066   19  159
B 13318 8103   19  163
pull out 166
B 13328 8103 -118  167
B 13338 8101 -118  170
B 13348 7981 -118  172
B 13358 7947 -118  173
B 13368 7957 -118  173
B 13378 7978 -118  174
B 13388 7537 -118  174
B 13398 7558 -118  174
B 13408 7705 -118  173
B 13418 7861 -118  173
B 13428 7816 -118  168
B 13438 7806 -118  155
B 13448 7618 -118  141
B 13458 7643 -118  127
B 13468 7486 -118  111
B 13478 7355 -118   94
B 13488 7362 -118   76
B 13498 7474 -118   58
B 13508 7691 -118   39
B 13518 7694 -118   19
B 13528 7770 -118   -1
push -11 -10
push out at target
B 13538 7777   78  -13
B 13548 7777   78  -21
B 13558 7746   78  -32
B 13568 7741   78  -43
B 13578 7708   78  -57
B 13588 7634   78  -70
B 13598 7468   78  -82
B 13608 7478   78  -97
B 13618 7556   78 -110
B 13628 7740   78 -123
B 13638 7739   78 -134
B 13648 7805   78 -142
B 13658 7841   55 -143
B 13668 7847    0 -143
B 13678 7644    9 -143
B 13688 7412    9 -138
B 13698 7425    9 -128
B 13708 7575    9 -121
B 13718 8002    9 -111
B 13728 8004    9 -101
B 13738 8039    9  -92
B 13748 8074    9  -83
B 13758 8076    9  -75
pb end 
B 13768 8076   10  -67
B 13778 8078   10  -61
B 13788 8078   10  -53
B 13798 8114   10  -47
SSS vs= 0.99  t=  236
%P VOLT1   = 8037
%P VOLT2   = 8230
%P S2_SC   =  0.99
%P L_ANG_MAX = 236
B 13808 8113   69  -40
B 13818 8115   69  -34
B 13828 8114   69  -28
B 13838 8113   69  -22
B 13848 8091   69  -17
B 13858 8065   69  -11
B 13868 8055   69   -5
B 13878 8057   69    0
B 13888 7952   69    5
B 13898 7885   69   12
B 13908 7885   69   17
B 13918 7912   69   21
B 13928 7955   69   27
B 13938 7945   69   34
B 13948 7916   69   42
B 13958 7926   69   51
B 13968 7935   69   59
B 13978 7871   61   69
B 13988 7628   52   78
B 13998 7632   43   86
B 14008 7675   35   94
B 14019 7724   26  103
B 14029 7728   19  111
B 14039 7808   19  119
B 14049 7992   19  126
B 14059 7998   19  133
B 14069 7963   19  140
B 14079 8070   19  145
B 14089 8072   19  151
B 14099 8070   19  157
B 14109 8073   19  163
B 14119 8070   19  167
B 14129 8069   19  171
pull out 175
B 14139 8105 -118  175
B 14149 8104 -118  179
B 14159 8070 -118  182
B 14169 8093 -118  185
B 14179 8015 -118  186
B 14189 8011 -118  186
B 14199 8020 -118  186
B 14209 8029 -118  186
B 14219 7434 -118  186
B 14229 7760 -118  186
B 14239 7766 -118  186
B 14249 7841 -118  186
B 14259 7911 -118  179
B 14269 7904 -118  168
B 14279 7825 -118  155
B 14289 7435 -118  141
B 14299 7442 -118  126
B 14309 7343 -118  111
B 14319 7488 -118   94
B 14329 7491 -118   75
B 14339 7605 -118   57
B 14349 7744 -118   37
B 14359 7747 -118   17
B 14369 7747 -118   -3
push -10 -10
push out at target
B 14379 7749   78  -13
B 14389 7736   78  -22
B 14399 7737   78  -33
B 14409 7781   78  -39
B 14419 7788   78  -50
B 14429 7720   78  -59
B 14439 7755   78  -69
B 14449 7763   78  -77
B 14459 7832   55  -83
B 14469 7940   38  -85
B 14479 7944    6  -85
B 14489 7916    9  -85
B 14499 7500    9  -84
B 14509 7507    9  -75
B 14519 7473    9  -70
B 14529 7971    9  -62
B 14539 7972    9  -54
B 14549 8080    9  -47
B 14559 8080    9  -41
B 14569 8080    9  -34
pb end 
B 14579 8076   10  -28
B 14589 8117   10  -22
B 14599 8114   10  -16
B 14609 8115   10  -10
SSS vs= 0.99  t=  241
%P VOLT1   = 8037
%P VOLT2   = 8234
%P S2_SC   =  0.99
%P L_ANG_MAX = 241
B 14619 8115   69   -3
B 14629 8115   69    2
B 14639 8115   69    7
B 14649 8115   69   12
B 14659 8097   69   15
B 14669 8073   69   19
B 14679 8068   69   22
B 14689 8066   69   27
B 14699 7747   69   28
B 14709 7814   69   29
B 14719 7805   69   31
B 14729 7940   69   33
B 14739 7945   69   37
B 14749 7948   69   42
B 14760 7956   69   49
B 14770 7889   69   56
B 14780 7894   67   63
B 14790 7576   61   70
B 14800 7613   55   76
B 14810 7617   49   83
B 14821 7692   43   90
B 14831 7733   37   96
B 14842 7771   30  103
B 14852 7775   24  110
B 14862 7885   19  116
B 14872 7958   19  121
B 14882 7963   19  127
B 14892 7965   19  131
B 14902 8037   19  136
B 14912 8039   19  140
B 14922 8073   19  144
B 14932 8073   19  148
B 14942 8073   19  151
B 14952 8072   19  155
B 14962 8074   19  157
pull out 159
B 14972 8072 -118  159
B 14982 8072 -118  161
B 14992 8074 -118  163
B 15002 8030 -118  164
B 15012 8007 -118  164
B 15022 8010 -118  164
B 15032 8013 -118  164
B 15042 7523 -118  164
B 15052 7741 -118  164
B 15062 7743 -118  164
B 15072 7854 -118  163
B 15082 7966 -118  158
B 15092 7966 -118  148
B 15102 7894 -118  137
B 15112 7539 -118  125
B 15122 7542 -118  113
B 15132 7398 -118   99
B 15142 7431 -118   83
B 15152 7429 -118   67
B 15162 7572 -118   50
B 15172 7713 -118   31
B 15182 7714 -118   12
B 15192 7717 -118   -6
push -10 -10
push out at target
B 15202 7719   78  -14
B 15212 7720   78  -23
B 15222 7706   78  -34
B 15232 7749   78  -45
B 15242 7754   78  -54
B 15252 7652   78  -65
B 15262 7726   78  -76
B 15272 7727   78  -86
B 15282 7836   71  -94
B 15292 7939   55  -94
B 15302 7941    9  -95
B 15312 7875    9  -95
B 15322 7490    9  -95
B 15332 7502    9  -91
B 15342 7474    9  -82
B 15352 7723    9  -73
B 15362 7724    9  -66
B 15372 8043    9  -57
B 15382 8083    9  -49
pb end 
B 15392 8080   10  -39
B 15402 8081   10  -30
B 15412 8083   10  -21
B 15422 8080   10  -11
SSS vs= 0.99  t=  246
%P VOLT1   = 7978
%P VOLT2   = 8234
%P S2_SC   =  0.99
%P L_ANG_MAX = 246
B 15432 8080   69   -1
B 15442 8118   69    7
B 15452 8117   69   15
B 15462 8117   69   22
B 15472 8083   69   27
B 15482 8071   69   33
B 15492 8066   69   37
B 15502 7747   69   39
B 15512 7751   69   42
B 15522 7823   69   45
B 15532 7933   69   47
B 15542 7935   69   47
B 15552 7973   69   49
B 15562 7976   69   52
B 15572 7968   69   57
B 15582 7962   67   63
B 15592 7676   60   71
B 15602 7675   54   79
B 15612 7610   47   87
B 15622 7614   41   95
B 15632 7622   35  101
B 15642 7592   29  108
B 15652 7810   24  115
B 15662 7815   19  121
B 15672 7961   19  127
B 15682 8001   19  133
B 15692 8002   19  139
B 15702 8002   19  143
B 15712 8074   19  147
B 15722 8074   19  151
B 15732 8074   19  155
B 15742 8076   19  159
B 15752 8074   19  161
B 15762 8076   19  164
pull out 166
B 15772 8074 -118  166
B 15782 8074 -118  167
B 15792 8077 -118  169
B 15802 8076 -118  170
B 15812 8032 -118  170
B 15822 8013 -118  170
B 15832 8017 -118  170
B 15842 8021 -118  170
B 15852 7600 -118  170
B 15862 7747 -118  170
B 15872 7750 -118  170
B 15882 7861 -118  167
B 15892 7967 -118  159
B 15902 7970 -118  151
B 15912 7902 -118  139
B 15922 7583 -118  127
B 15932 7583 -118  114
B 15942 7406 -118   99
B 15952 7477 -118   84
B 15962 7477 -118   68
B 15972 7550 -118   51
B 15982 7728 -118   33
B 15992 7727 -118   15
B 16002 7728 -118   -3
push -10 -10
push out at target
B 16012 7728   79  -12
B 16022 7723   79  -21
B 16032 7710   79  -32
B 16042 7714   79  -42
B 16052 7722   79  -51
B 16062 7617   79  -63
B 16072 7692   79  -74
B 16082 7695   79  -85
B 16092 7839   79  -93
B 16102 7946   55  -97
B 16112 7941   22  -97
B 16122 7842    9  -97
B 16132 7490    9  -97
B 16142 7502    9  -90
B 16152 7471    9  -81
B 16162 7725    9  -75
B 16172 7725    9  -66
B 16182 8045    9  -57
B 16192 8080    9  -49
B 16202 8081    9  -41
pb end 
B 16212 8081   10  -32
B 16222 8081   10  -23
B 16232 8083   10  -15
B 16242 8081   10   -7
B 16252 8118   10    1
SSS vs= 0.99  t=  251
%P VOLT1   = 8037
%P VOLT2   = 8241
%P S2_SC   =  0.99
%P L_ANG_MAX = 251
B 16262 8118   68    7
B 16272 8117   68   14
B 16282 8096   68   19
B 16292 8083   68   23
B 16302 8080   68   27
B 16312 7761   68   29
B 16322 7761   68   31
B 16332 7833   68   33
B 16342 7941   68   36
B 16352 7940   68   37
B 16362 7967   68   39
B 16372 7962   68   44
B 16382 7960   68   51
B 16392 7963   68   58
B 16402 7686   65   65
B 16412 7687   59   72
B 16422 7618   54   79
B 16432 7658   48   87
B 16442 7662   44   93
B 16452 7665   39  100
B 16462 7810   33  107
B 16472 7812   29  113
B 16482 7886   24  119
B 16492 7924   19  125
B 16502 7927   19  130
B 16512 7965   19  135
B 16522 8004   19  140
B 16532 8005   19  144
B 16542 8040   19  148
B 16552 8077   19  152
B 16562 8077   19  155
B 16572 8077   19  158
B 16582 8077   19  161
B 16592 8077   19  163
B 16602 8077   19  164
pull out 165
B 16612 8076 -118  166
B 16622 8074 -118  167
B 16632 8073 -118  167
B 16642 8032 -118  168
B 16652 8020 -118  168
B 16662 8022 -118  168
B 16672 7496 -118  168
B 16682 7501 -118  167
B 16692 7646 -118  167
B 16702 7864 -118  167
B 16712 7865 -118  164
B 16722 7936 -118  156
B 16732 7903 -118  147
B 16742 7903 -118  135
B 16752 7763 -118  123
B 16762 7409 -118  109
B 16772 7408 -118   95
B 16782 7406 -118   79
B 16792 7584 -118   62
B 16802 7583 -118   45
B 16812 7655 -118   27
B 16822 7726 -118    8
B 16832 7728 -118   -5
push -10 -10
push out at target
B 16842 7728   78  -13
B 16852 7730   78  -23
B 16862 7727   78  -33
B 16872 7716   78  -45
B 16882 7574   78  -57
B 16892 7580   78  -67
B 16902 7445   78  -80
B 16912 7624   78  -92
B 16922 7627   78 -105
B 16932 7769   78 -115
B 16942 7913   71 -121
B 16952 7913   38 -124
B 16962 7878   14 -124
B 16972 7524    9 -124
B 16982 7533    9 -124
B 16992 7434    9 -117
B 17002 7548    9 -109
B 17012 7548    9 -103
B 17022 7975    9  -95
B 17032 8047    9  -87
B 17042 8047    9  -79
B 17052 8049    9  -73
B 17062 8081    9  -65
pb end 
B 17072 8083   10  -58
B 17082 8083   10  -51
B 17092 8083   10  -45
SSS vs= 0.99  t=  256
%P VOLT1   = 7978
%P VOLT2   = 8241
%P S2_SC   =  0.99
%P L_ANG_MAX = 256
B 17102 8084   69  -37
B 17112 8084   69  -31
B 17122 8110   69  -25
B 17132 8089   69  -18
B 17142 8082   69  -13
B 17152 8083   69   -6
B 17162 8082   69    0
B 17172 7763   69    6
B 17182 7906   69   11
B 17192 7908   69   19
B 17202 7944   69   24
B 17212 7982   69   30
B 17222 7981   69   35
B 17232 8018   69   43
B 17242 7946   69   51
B 17252 7939   69   59
B 17262 7755   64   67
B 17272 7613   58   76
B 17282 7613   52   84
B 17292 7584   47   92
B 17302 7765   41  101
B 17312 7769   35  109
B 17322 7809   29  117
B 17332 7849   24  124
B 17342 7854   19  131
B 17352 7928   19  139
B 17362 7969   19  145
B 17372 7969   19  151
B 17382 8042   19  157
B 17392 8076   19  162
B 17402 8077   19  167
B 17412 8076   19  171
B 17422 8077   19  176
B 17432 8076   19  181
B 17442 8077   19  183
pull out 187
B 17452 8077 -118  187
B 17462 8077 -118  189
B 17472 8076 -118  190
B 17482 8066 -118  191
B 17492 8027 -118  191
B 17502 8025 -118  191
B 17512 8028 -118  191
B 17522 8035 -118  191
B 17532 7542 -118  191
B 17542 7829 -118  191
B 17552 7829 -118  191
B 17562 7906 -118  185
B 17572 7941 -118  177
B 17582 7943 -118  166
B 17592 7872 -118  153
B 17602 7518 -118  140
B 17612 7518 -118  126
B 17622 7414 -118  111
B 17632 7519 -118   95
B 17642 7520 -118   79
B 17652 7627 -118   61
B 17662 7730 -118   42
B 17672 7734 -118   23
B 17682 7769 -118    3
B 17692 7737 -118   -8
push -11 -10
push out at target
B 17702 7738   79  -17
B 17712 7737   79  -26
B 17722 7754   79  -37
B 17732 7760   79  -47
B 17742 7693   79  -57
B 17752 7520   79  -69
B 17762 7523   79  -79
B 17772 7704   79  -89
B 17782 7883   72  -98
B 17792 7887   63 -102
B 17802 7924   22 -103
B 17812 7682    0 -103
B 17822 7683    9 -103
B 17832 7514    9 -103
B 17842 7978    9  -99
B 17852 7977    9  -93
B 17862 7978    9  -87
B 17872 8084    9  -82
B 17882 8083    9  -77
B 17892 8086    9  -73
B 17902 8084    9  -68
pb end 
B 17912 8084   10  -63
B 17922 8084   10  -59
B 17932 8083   10  -55
B 17942 8084   10  -51
SSS vs= 0.99  t=  261
%P VOLT1   = 8037
%P VOLT2   = 8244
%P S2_SC   =  0.99
%P L_ANG_MAX = 261
B 17952 8118   68  -47
B 17962 8119   68  -44
B 17972 8118   68  -39
B 17982 8084   68  -36
B 17992 8094   68  -32
B 18002 8083   68  -28
B 18012 8082   68  -24
B 18022 7690   68  -19
B 18032 7692   68  -15
B 18042 7837   68  -10
B 18052 7947   68   -3
B 18062 7946   68    3
B 18072 7947   68    9
B 18082 7982   68   16
B 18092 7984   68   25
B 18102 7984   68   34
B 18112 7772   68   43
B 18122 7774   68   51
B 18132 7701   68   59
B 18142 7631   64   67
B 18152 7627   59   75
B 18162 7730   53   84
B 18172 7802   48   93
B 18182 7804   41  102
B 18192 7806   35  111
B 18202 7843   30  119
B 18212 7850   24  128
B 18222 7816   19  136
B 18232 7927   19  143
B 18242 7930   19  151
B 18252 8005   19  158
B 18262 8040   19  164
B 18272 8042   19  170
B 18282 8078   19  175
B 18292 8077   19  181
B 18302 8077   19  186
B 18312 8078   19  190
B 18322 8078   19  194
pull out 197
B 18332 8078 -118  197
B 18342 8078 -118  199
B 18352 8039 -118  201
B 18362 8031 -118  201
B 18372 8034 -118  201
B 18382 7436 -118  201
B 18392 7438 -118  201
B 18402 7619 -118  201
B 18412 7836 -118  201
B 18422 7837 -118  201
B 18432 7910 -118  196
B 18442 7875 -118  186
B 18452 7872 -118  175
B 18462 7734 -118  163
B 18472 7377 -118  149
B 18482 7379 -118  135
B 18492 7378 -118  119
B 18502 7594 -118  103
B 18512 7594 -118   87
B 18522 7665 -118   68
B 18532 7737 -118   49
B 18542 7736 -118   30
B 18552 7738 -118   10
B 18562 7741 -118   -7
push -10 -10
push out at target
B 18572 7741   78  -16
B 18582 7741   78  -25
B 18592 7778   78  -36
B 18602 7761   78  -47
B 18612 7761   78  -58
B 18622 7518   78  -70
B 18632 7520   78  -83
B 18642 7453   78  -93
B 18652 7775   71 -105
B 18662 7778   78 -114
B 18672 7887   63 -120
B 18682 7853   38 -122
B 18692 7854    6 -122
B 18702 7715    9 -122
B 18712 7616    9 -122
B 18722 7616    9 -114
B 18732 7799    9 -110
B 18742 8047    9 -103
B 18752 8047    9  -97
B 18762 8049    9  -91
B 18772 8083    9  -86
B 18782 8084    9  -81
pb end 
B 18792 8086   10  -77
B 18802 8117   10  -73
B 18812 8119   10  -69
B 18822 8086   10  -66
B 18832 8084   10  -62
SSS vs= 0.99  t=  266
%P VOLT1   = 7978
%P VOLT2   = 8248
%P S2_SC   =  0.99
%P L_ANG_MAX = 266
B 18842 8084   69  -59
B 18852 8086   69  -57
B 18862 8084   69  -53
B 18872 8066   69  -50
B 18882 8052   69  -47
B 18892 8050   69  -44
B 18902 8048   69  -41
B 18912 7693   69  -37
B 18922 7872   69  -31
B 18932 7875   69  -27
B 18942 7910   69  -21
B 18952 7984   69  -13
B 18962 7982   69   -5
B 18972 7981   69    6
B 18982 7731   69   17
B 18992 7728   69   27
B 19002 7625   69   38
B 19012 7696   69   47
B 19022 7696   69   57
B 19032 7769   65   67
B 19043 7840   59   77
B 19054 7837   53   87
B 19064 7808   46   98
B 19074 7778   40  107
B 19084 7781   34  116
B 19094 7745   29  126
B 19104 7889   23  135
B 19114 7892   19  143
B 19124 7930   19  151
B 19134 7967   19  160
B 19144 7969   19  167
B 19154 8008   19  175
B 19164 8043   19  182
B 19174 8043   19  187
B 19184 8078   19  194
B 19194 8078   19  199
B 19204 8078   19  203
B 19214 8078   19  207
pull out 207
B 19224 8080 -118  211
B 19234 8078 -118  214
B 19244 8077 -118  217
B 19254 8038 -118  218
B 19264 8031 -118  218
B 19274 8035 -118  218
B 19284 7435 -118  218
B 19294 7438 -118  218
B 19304 7619 -118  218
B 19314 7833 -118  218
B 19324 7835 -118  218
B 19334 7910 -118  211
B 19344 7873 -118  201
B 19354 7875 -118  189
B 19364 7699 -118  175
B 19374 7415 -118  161
B 19384 7415 -118  146
B 19394 7381 -118  131
B 19404 7592 -118  114
B 19414 7594 -118   96
B 19424 7668 -118   78
B 19434 7738 -118   59
B 19444 7740 -118   39
B 19454 7740 -118   19
B 19464 7740 -118   -1
push -10 -10
push out at target
B 19474 7741   79  -12
B 19484 7740   79  -21
B 19494 7774   79  -31
B 19504 7757   79  -43
B 19514 7794   79  -53
B 19524 7588   79  -66
B 19534 7594   79  -78
B 19544 7455   79  -87
B 19555 7815   63  -99
B 19565 7812   79 -109
B 19575 7889   72 -114
B 19585 7886   31 -115
B 19595 7887    0 -115
B 19605 7742    9 -115
B 19615 7471    9 -110
B 19625 7475    9 -100
B 19635 7478    9  -93
B 19645 8013    9  -83
B 19655 8013    9  -74
B 19665 8050    9  -65
B 19675 8051    9  -57
B 19685 8050    9  -50
pb end 
B 19695 8084   10  -43
B 19705 8088   10  -35
B 19715 8084   10  -29
B 19725 8084   10  -21
SSS vs= 0.99  t=  271
%P VOLT1   = 7978
%P VOLT2   = 8248
%P S2_SC   =  0.99
%P L_ANG_MAX = 271
B 19735 8086   69  -14
B 19745 8086   69   -7
B 19755 8121   69   -1
B 19765 8087   69    5
B 19775 8062   69   11
B 19785 8053   69   16
B 19795 8087   69   20
B 19805 8086   69   24
B 19815 7768   69   30
B 19825 7910   69   33
B 19835 7908   69   35
B 19845 7941   69   38
B 19855 7978   69   41
B 19865 7978   69   46
B 19875 7977   69   52
B 19885 7908   69   59
B 19895 7909   66   66
B 19905 7805   62   73
B 19915 7629   58   80
B 19925 7629   54   87
B 19935 7632   49   94
B 19945 7703   45  101
B 19955 7709   42  107
B 19965 7747   37  115
B 19975 7819   34  121
B 19985 7822   30  127
B 19995 7895   27  133
B 20005 7930   23  139
B 20015 7933   19  145
B 20025 7967   19  150
B 20035 8005   19  155
B 20045 8006   19  160
B 20055 8043   19  164
B 20065 8043   19  168
B 20075 8043   19  171
B 20085 8078   19  174
B 20095 8078   19  176
B 20105 8078   19  178
B 20115 8080   19  179
B 20125 8080   19  181
pull out 181
B 20135 8078 -118  181
B 20145 8076 -118  182
B 20155 8039 -118  182
B 20165 8034 -118  182
B 20175 8038 -118  182
B 20185 7509 -118  181
B 20195 7512 -118  181
B 20205 7656 -118  181
B 20215 7872 -118  178
B 20225 7875 -118  171
B 20235 7912 -118  163
B 20245 7912 -118  152
